abnormal,অস্বাভাবিক
insecure,নিরাপত্তাহীন
insecurity,অনিরাপত্তা
insensible,অচেতন
insensitive,অবশ
insidious,প্রতারণাপূর্ণ
insignificance,তুচ্ছতা
insignificant,তুচ্ছ
insincere,কপট
insincerely,কপটভাবে
insincerity,কপটতা
insinuate,কটাক্ষ করা
insinuation,পরোক্ষ ইঙ্গিত
insolence,ঔদ্ধত্য
insolent,উদ্ধত
insolently,অহংকার
insolvent,দেউলিয়া
insouciance,অনাসক্তি
instability,অস্থায়িত্ব
instigate,প্ররোচিত করা
instigator,প্ররোচক
instigators,উস্কানিদাতাদের
insubordinate,অবাধ্য
insubstantial,অবাস্তব
insufferable,অসহনীয়
insufficiency,অপ্রতুলতা
insufficient,অপর্যাপ্ত
insufficiently,অপ্রতুল
insular,সঙ্কীর্ণচিত্ত
insult,অপমান
insulted,অপমানিত
insulting,অপমানকর
insults,অপমান
insupportable,অসহ্য
insurmountable,অনতিক্রম্য
insurrection,বিদ্রোহ
intense,তীব্র
interfere,হস্তক্ষেপ করা
interference,হস্তক্ষেপ
interferes,হস্তক্ষেপ
intermittent,সবিরাম
interrupt,সাময়িক বিরতি
interruption,বাধা
interruptions,বাধা
intimidate,ভয় দেখান
intimidating,ভয় দেখিয়ে
intimidatingly,ভয় দেখাবেন
intimidation,হুমকি
intolerable,অসহনীয়
intolerance,অক্ষমা
intoxicate,প্রমত্ত করা
intractable,অবাধ্য
intransigence,একগুঁয়েমি
intransigent,একরোখা
intrude,অনধিকারপ্রবেশ করা
intrusion,অনধিকারপ্রবেশ
intrusive,অনধিকারপ্রবেশমূলক
inundate,প্রবাহিত করা
inundated,প্লাবিত
invader,আক্রমণকারী
invalid,অকার্যকর
invalidate,বাতিল করা
invalidity,দুর্বলতা
invasive,আক্রমণকর
invective,আক্রমণমূলক
inveigle,মুগ্ধ করা
invidious,বাস্তব বা কাল্পনিক অবিচারপ্রসূত
invisible,অদৃশ্য
involuntarily,অনিচ্ছাজনিত
involuntary,অনৈচ্ছিক
irascible,একরোখা
irate,রাগাম্বিত
ire,ক্রোধ
irk,ক্লান্ত করে তোলা
irksome,ভোগানে
irksomeness,ক্লান্তিদায়কতা
ironic,বিদ্রূপাত্মক
ironical,শ্লেষাত্মক
ironically,হাস্যকর ভাবে
irony,বিদ্রূপ
irrational,অযৌক্তিক
irreconcilable,শত্রুভাবাপন্ন
irrecoverable,অনাদায়যোগ্য
irredeemable,অনপনেয়
irregular,অনিয়মিত
irregularity,অনিয়ম
irrelevance,অসামঁজস্য
irrelevant,অপ্রাসঙ্গিক
irreparable,অসংশোধনীয়
irrepressible,অদম্য
irresolute,অস্থিরসঙ্কল্প
irresponsible,দায়িত্বহীন
irresponsibly,দায়িত্বজ্ঞানহীন
irretrievable,পুনরূদ্ধারের অসাধ্য
irreversible,অপরিবর্তনীয়
irritable,খিট্খিটে
irritant,যন্ত্রণাদায়ক
irritate,জ্বালাতন করা
irritated,বিরক্ত
irritating,বিরক্তিকর
irritation,উপদ্রব
irritations,চুলকানি
isolate,বিছিন্ন
isolated,ভিন্ন
isolation,বিচ্ছিন্নতা
issue,সমস্যা
issues,সমস্যা
itch,পাঁচড়া
itching,নিশ্পিশ
jaded,শ্রান্ত
jagged,খাঁজকাটা
jam,জ্যাম
jarring,শ্রুতিকটু
jaundiced,পাণ্ডু
jealous,ঈর্ষান্বিত
jealously,ঈর্ষা
jealousy,সন্দেহ
jeer,ব্যঙ্গ
jeering,বিদ্রুপকারী
jeopardize,বিপন্ন
jeopardy,ঝুঁকি
jerk,হেঁচকা
jerky,ঝাঁকুনিপূর্ণ
jitter,নার্ভাসভাবে কাজ করা
jitters,ভীষন ভীত হওয়ার ভাব
jittery,নার্ভাস
jobless,বেকার
joke,রসিকতা
joker,ভাঁড়
jolt,ঝাঁকুনি
judder,সশব্দে কম্পন
jumpy,লাফানে
junk,আবর্জনা
junky,মাদকাসক্ত ব্যক্তি
killed,নিহত
killer,হত্যাকারী
killing,হত্যা
killjoy,মূর্তিমান নিরানন্দ
kills,মেরে
knave,টেটন
knife,ছুরি
knock,ঠক্ঠক্
knotted,গ্রন্থিবদ্ধ
kook,ছিটিয়াল
lackadaisical,অবসাদগ্রস্ত
lacked,ইঙ্গিতও
lackey,ভৃত্য
lackeys,দালালদের
lacking,উদাসীন
lackluster,নিষ্প্রভ
lacks,অভাব আছে
laconic,অল্পকথায় অর্থপূর্ণ
lag,বিলম্ব
lagging,সাপেক্ষে বেশ পিছিয়ে পড়েছে
lambaste,আচ্র্ছারকম মারা
lame,পঙ্গু
lameduck,অভাগা
lament,বিলাপ
lamentable,শোকাই
lamentably,দুঃখজনকভাবে
languid,অবসন্ন
languish,শক্তিহীনতা
languor,অবসন্নতা
languorous,নির্জীব
lanky,ঢেঙ্গা
lapse,ভ্রষ্টতা
lapsed,অতিপন্ন
lapses,তামাদি
lascivious,লম্পট
latency,অদৃশ্যতা
laughable,হাস্যকর
laughingstock,হাসির পাত্র
lawbreaker,আইনভঙ্গকারী
lawless,অনাচার
lawlessness,অনাচার
lazy,অলস
leak,ফুটো
leakage,ফুটা হত্তয়া
leakages,লিকেজ
leaking,ফাঁস
leaks,তথ্য ফাঁসের
leaky,ছিদ্রময়
lecher,লম্পট
lecherous,লম্পট
lechery,লাম্পট্য
leech,জোঁক
leer,অপাঙ্গদৃষ্টি
leery,ধূর্ত
lemon,লেবু
lengthy,লম্বা
lessdeveloped,কম উন্নত
lethal,মারাত্মক
lethargic,অলস
lethargy,তন্দ্রা
lewd,লুচ্চা
lewdness,ব্যভিচার
liability,দায়
liable,দায়ী
liar,মিথ্যাবাদী
liars,মিথ্যাবাদী
licentious,লম্পট
lie,মিথ্যা
lies,মিথ্যা
lifeless,নির্জীব
limit,সীমা
limitation,সীমাবদ্ধতা
limitations,সীমাবদ্ধতা
limited,সীমিত
limits,সীমা
limp,নিস্তেজ
listless,অবসন্ন
litigious,মামলাবাজ
livid,সীসকবর্ণ
loath,অরাজি
loathe,অতিশয় অপছন্দ করা
loathing,ঘৃণাকারী
loathly,ঘৃণাজনক
loathsome,ঘৃণিত
lone,নির্জন
loneliness,নিঃসঙ্গতা
lonely,একাকী
loner,সৈকতে
lonesome,একাকী
longtime,অনেকক্ষণ
longing,আকাঙ্ক্ষা
loophole,পলায়নের পথ
loopholes,সমস্যা
loose,আলগা
loot,লুণ্ঠন
lose,হারান
loser,অভাগা
losers,ক্ষতিগ্রস্তদের অন্তর্ভুক্ত
loses,হারায়
losing,হারানো
loss,ক্ষতি
losses,লোকসান
lost,নষ্ট
loud,অট্ট
louder,জোরে
lousy,ইতর
loveless,স্নেহহীন
lovelorn,প্রণয়পীড়িত
lowly,অকুল
ludicrous,হাস্যকর
lugubrious,নিরানন্দ
lukewarm,কবোষ্ণ
lull,ঘুমান
lumpy,পিণ্ডময়
lunatic,চন্দ্রাহত
lurch,সহসা জাহাজের কাৎ
lure,টোপ
lurid,উত্তেজনাপূর্ণ
lurk,অদৃশ্য থাকা
lurking,লুকোনোর
mad,পাগল
madden,মাত করা
maddening,উন্মাদক
madder,লতাবিশেষ
madly,ক্ষিপ্তবৎ
madman,পাগল
madness,উন্মাদ
maladjusted,অপবিন্যস্ত
maladjustment,সামঁজস্যহীনতা
malady,রোগ
malaise,অসুস্থতাবোধ
malcontent,অসন্তুষ্ট
malevolence,অমঙ্গল কামনা
malevolent,হিংসক
malice,আক্রোশ
malicious,বিদ্বেষপরায়ণ
maliciously,বিদ্বেষপূর্ণভাবে
maliciousness,হিংসায়
malign,মারাত্মক
malignant,মারাত্মক
malodorous,দুর্গন্ধযুক্ত
maltreatment,অসদাচরণ
mangle,ছিন্ন করা
mangled,ম্যাঙ্গলেড
mangles,mangle করা
mania,বাই
maniac,ক্ষিপ্ত
maniacal,বাতিকগ্রস্ত
manic,খেদোন্মত্ত
manipulate,নিপূণভাবে ব্যবহার করা
manipulation,দক্ষতা সহকারে হস্তচালন
manipulative,ধান্দাবাজি
mar,বিকলাঙ্গ করা
marginal,প্রান্তীয়
marginally,সীমিতভাবে
martyrdom,শহীদের যন্ত্রণা
mashed,ভর্তা করা
massacre,হত্যাকাণ্ড
massacres,গণহত্যার
matte,ম্যাট
mawkish,ঘৃণাজনক
mawkishness,ন্যাকাপনা
meager,অনুর্বর
meaningless,অর্থহীন
meanness,নীচতা
measly,ছোটো
meddle,মাথা ঘামান
meddlesome,দ্বন্দ্বী
mediocre,মাঝারি
mediocrity,মধ্যম অবস্থা
melancholy,মনমরা
melodramatic,অতিনাটকীয়
meltdown,তরলিকরন
menace,ভীতিপ্রদর্শন
menacing,ভয়প্রদর্শনকারী
menacingly,ভয় প্রদর্শন করিয়া
mendacious,মিথ্যাবাদী
mendacity,মিথ্যা
menial,ভৃত্য
merciless,নির্দয়
mercilessly,ক্ষমাহীনভাবে
mess,জগাখিচুড়ি
messed,তছনছ
messing,তালগোল পাকানো
messy,নোংরা
midget,বামন
miff,বিরক্তিপ্রকাশ
militancy,জঙ্গিবাদ
mindless,নির্বোধ
mirage,মরীচিকা
mire,কর্দম
misalign,বেঁকিয়ে বসানো
misaligned,শ্রেণীবদ্ধ
misapprehend,ভুল অর্থে গ্রহণ করা
misbecome,অনুপযুক্ত হত্তয়া
misbegotten,জারজ
misbehave,অসদাচরণ করা
misbehavior,অশোভন আচরণ
miscalculate,ভুল গণনা করা
miscalculation,ভুল
miscellaneous,বিবিধ
mischief,দুষ্টুমি
mischievous,ক্ষতিকর
mischievously,দুষ্টমি
misconception,ভুল ধারণা
misconceptions,ভ্রান্ত ধারনা
miscreant,দুর্বৃত্ত
miscreants,দুর্বৃত্তদের
miser,কৃপণ
miserable,দু: স্থ
miserably,শোচনীয়ভাবে
miseries,দুর্দশার
miserly,অতিলোভী
misery,দুর্বিপাক
misfit,বেমানান বস্তু
misfortune,দৈবদুর্বিপাক
misgiving,সন্দেহ
misgivings,সন্দেহ
misguidance,পথভ্রষ্টতায়
misguide,ভুল পথে চালিত করা
misguided,বিপথে চালিত
mishandle,রুঢ় আচরণ করা
mishap,ভালমন্দ
misinform,ভুল সংবাদ
misinterpret,ভুল ব্যাখ্যা করা
misjudge,ছোটো করে দেখা
misjudgment,ছোটো করে দেখা
mislead,ভুল পথে চালিত করা
misleading,বিভ্রান্তিকর
mismanage,তালগোল পাকান
mispronounce,ভুল উচ্চারণ করা
misread,ভুল ব্যাখ্যা করা
misreading,অশুদ্ধ পাঠ
misrepresent,ভুল বর্ণনা করা
misrepresentation,মিথ্যা বর্ণনা
miss,হারানো
missed,মিস
misses,শটটি
misstatement,ভুল বিবৃতি
mist,কুয়াশা
mistake,ভুল
mistaken,ভুল
mistakenly,ভুল করে
mistakes,ভুল
mistress,উপপত্নী
mistrust,অবিশ্বাস
mistrustful,বিশ্বাসহীন
mists,কুয়াশা
misunderstand,ভুল বুঝা
misunderstanding,ভুল বুঝা
misunderstandings,ভুল বোঝাবুঝি
misunderstood,অনেকেই ভুল বুঝে ভাবেন
misuse,অপব্যবহার
moan,ক্রন্দন
mobster,ডাকু
mock,উপহাস
mocked,অবহসিত
mockeries,উপহাস
mockery,উপহাস
mocking,বিদ্রূপকারী
mockingly,বিদ্রূপাত্মক
mocks,ঠাট্টা
molest,উত্ত্যক্ত করা
molestation,বিরক্তি
monotonous,একঘেয়ে
monotony,গতানুগতিকতা
monster,দৈত্য
monstrosity,বিকট মূর্তি
monstrous,বিকট
moody,মনমরা
moot,তর্ক করা
mope,নিস্তেজ করা
morbid,অস্বাস্থ্যকর
morbidly,আপনি সঙ্গীত
mordant,তীব্র
moribund,মৃতপ্রায়
moron,"গাধা, বোকা"
moronic,ক্যাবলা
morons,নির্বোধ
mortification,রিপুদমন
mortified,ক্ষুব্ধ
mortify,বিকল করা
mortifying,বিরক্তিকর
motionless,গতিহীন
motley,চিত্রবিচিত্র
mourn,শোক প্রকাশ করা
mourner,শোককারী
mournful,দু: খজনক
mournfully,শোকার্তভাবে
muddle,বিহ্বলতা
muddy,পঙ্কিল
mudslinging,কলঙ্কারোপ
mulish,খচ্চরতুল্য
mundane,জাগতিক
murder,হত্যা
murderer,খুনী
murderous,খুনী
murky,অস্পষ্ট
mushy,আবেগপ্রবণ
musty,বাসি
mysterious,রহস্যময়
mysteriously,রহস্যজনকভাবে
mystery,রহস্য
mystify,নিগূঢ় করা
nagging,বিরক্তি
naive,সাদাসিধা
narrower,সংকীর্ণ
nastily,কদর্যভাবে
nasty,কদর্য
naughty,দুষ্টু
nauseate,বিরক্তি বোধ করা
nauseating,বমনোদ্রেককর
nauseatingly,বিশ্রীভাবে
nave,নাভি
nebulous,আবছা
needless,অপ্রয়োজনীয়
needlessly,অযথা
needy,অতি দরিদ্র
nefarious,পৈশাচিক
negate,অস্বীকার করা
negation,অস্বীকৃতি
negative,নেতিবাচক
negatives,নেগেটিভ
negativity,অস্বীকৃতি
neglect,অবহেলা
neglected,অবহেলিত
negligence,অবহেলা
negligent,অবহেলাকারী
nemesis,অন্যায়ের প্রতিশোধ
nepotism,আত্মীয়পোষণ
nervous,স্নায়বিক
nervously,ঘাবড়ে
nervousness,স্নায়বিক দুর্বলাবস্থা
nettle,বিছুটি
neurotic,বায়ুগ্রস্ত
niggle,তুচ্ছ ব্যাপারে রত থাকা
nightmare,দুঃস্বপ্ন
nightmarish,বিকট নিশাস্বপ্নসংক্রান্ত
noise,গোলমাল
noises,শব্দ
noisy,সশব্দ
nonexistent,অবাস্তব
nonresponsive,অপ্রতিক্রিয়াশীল
nonsense,আজেবাজে কথা
nosey,দীর্ঘনাসা
notoriety,কুখ্যাতি
notorious,কুখ্যাত
notoriously,কুখ্যাতিপূর্ণভাবে
noxious,বিনাশসাধক
nuisance,উপদ্রব
object,উদ্দেশ্য
objection,আপত্তি
objectionable,আপত্তিকর
objections,আপত্তি
oblique,তেরছা
obliterate,ধ্বংস করা
obliterated,ধ্বংস
oblivious,অন্যমনস্ক
obnoxious,আপত্তিকর
obnoxiously,জঘন্যভাবে
obscene,অশ্লীল
obscenity,অশ্লীলতা
obscure,অস্পষ্ট
obscured,ছন্ন
obscures,অস্পষ্ট
obscurity,দুর্বোধ্যতা
obsess,মন অধিকার করিয়া রাখা
obsessive,অত্যধিক
obsessively,পাগলের
obsolete,অপ্রচলিত
obstacle,বাধা
obstinate,একগুঁয়ে
obstinately,দূরবর্তী পথ
obstruct,রোধ করা
obstructed,বাধিত
obstructing,প্রতিরোধক
obstruction,বিঘ্ন
obstructs,বাধা
obtrusive,জেদী
obtuse,ভোঁতা
occlude,অন্তর্ধারণ করা
odd,বিজোড়
oddity,ছিট
oddly,বেশ ভাল
odor,গন্ধ
offence,অপরাধ
offend,চটান
offender,অপরাধী
offending,দোষী
offenses,অপরাধের
offensive,আক্রমণাত্মক
offensively,আক্রমণাত্মক
officious,উপযাচক
ominous,অশুভ
ominously,আশঙ্কাজনকভাবে
omission,ভ্রান্তি
omit,বর্জন করা
onerous,গুরুভার
onslaught,আক্রমণ
opinionated,একগুঁয়ে
opponent,প্রতিদ্বন্দ্বী
opportunistic,সুবিধাবাদী
oppose,বিরোধিতা
opposition,বিরোধী দল
oppositions,বিরোধীদল
oppress,জুলুম করা
oppression,নিপীড়ন
oppressive,অত্যাচারী
oppressively,কঠোরভাবে
oppressiveness,দুরাত্মা
oppressors,অত্যাচারী
ordeal,কঠোর পরীক্ষা
orphan,অনাথ
ostracize,বহিষ্কৃত করা
outbreak,প্রাদুর্ভাব
outburst,বিস্ফোরণ
outbursts,ফেটে
outcast,নির্বাসিত
outcry,হৈচৈ
outlaw,ডাকু
outmoded,সেকেলে
outrage,অত্যাচার
outraged,ক্ষুব্ধ
outrageous,ভয়ানক
outrageously,অসংযতভাবে
outsider,বহিরাগত
overawe,বশীভূত করা
overpriced,বেশি দাম
overact,অতিরিক্তভাবে অভিনয় করা
overawe,বশীভূত করা
overbalance,মূল্য আধিক্য
overbearing,উদ্ধত
overblown,অতিমাত্রায় ফুটিয়া যাত্তয়া
overdo,ক্লান্ত করা
overdone,ধরা
overdue,পরিশোধসময়াতীত
overheat,অতিমাত্রায় তপ্ত করা
overloaded,ওভারলোড
overlook,তত্ত্বাবধান করা
overpaid,অতিরিক্ত
overplay,বাড়াবাড়ি
overpower,পরাভূত করা
overpriced,বেশি দাম
overrated,ওভাররেটেড
overreach,নাগাল ধরা
overrun,পদদলিত করা
overshadow,ছায়াচ্ছন্ন করা
oversight,ভুল
oversimplification,অতিসরলীকরণ
oversimplify,অতিসরল করে তোলা
oversize,আয়তনের
overstate,অত্যুক্তি করা
overstatement,অতিরঞ্জন
overstates,অনেক বাড়িয়ে দেখানো
overthrow,পরাস্ত
overthrows,উৎখাত
overturn,ত্তলটান
overweight,প্রয়োজনাতিরিক্ত ত্তজন
overwhelm,অভিভূত করা
overwhelmed,বিহ্বল
overwhelming,অভিভূতকারী
overwhelmingly,সিংহভাগ
overwhelms,পূর্ণগ্রাস
painful,বেদনাদায়ক
painfully,বেদনাদায়কভাবে
pains,প্রযত্ন
pale,ম্লান
paltry,তুচ্ছ
pan,চাটু
pandemonium,কোন্দল
pander,সহচর
panic,আতঙ্ক
panicked,ত্রস্ত
panicky,আতঙ্কিত
paradoxical,আপার্তবৈপরীত
paradoxically,আপাতদৃষ্টে বিপরীত মনে হলেও
paralyzed,পক্ষাঘাতগ্রস্ত
paranoia,প্যারানয়া
paranoid,ভীতু
parasite,পরজীবী
pariah,দাক্ষিণাত্যের নীচ জাতি
parody,প্যারডি
partiality,পক্ষপাত
partisan,তরফদার
partisans,ব্যাপারে
passive,নিষ্ক্রিয়
pathetic,হৃদয়স্পর্শী
pathetically,করুণ
patronize,পিঠ চাপড়ান
paucity,অনটন
pauper,কাঙ্গাল
paupers,বিত্তহীনই
peculiar,অদ্ভুত
peculiarly,অদ্ভুতভাবে
pedantic,গোঁড়া
peeve,অপমান
peeved,বিরক্ত
peevish,বদরাগী
penalize,দণ্ডিত করা
penalty,শাস্তি
perfidious,বিশ্বাসঘাতক
perfunctory,ভাসা-ভাসা
peril,অনিষ্টপাত
perilous,বিপজ্জনক
perish,বিনষ্ট করা
pernicious,ক্ষতিকর
perplex,হতবুদ্ধি করা
perplexed,কিংকর্তব্যবিমূঢ়
perplexing,জটিল
perplexity,আবেশ
persecute,নির্যাতন করা
persecution,নিপীড়ন
pertinacious,একগুঁয়ে
pertinacity,স্থিরানুবন্ধতা
perturb,বিহ্বল করা
perturbed,বিচল
pervasive,পরিব্যাপক
perverse,বিপথগামী
perversely,খারাপ আচরণ
perversion,স্বেচ্ছাচারিতা
perversity,নষ্টামি
pervert,বিকৃত করা
perverted,বিকৃত
pessimism,মন্দগ্রাহিতা
pessimistic,হতাশাপূর্ণ
pest,কীটপতঙ্গ
pestilent,ক্ষতিকারক
petrified,সংরক্ষিত
petrify,শিলীভূত করা
pettifog,বাজে উকিলের মত ধাপ্পাবাজি
petty,ক্ষুদ্র
phobia,বিতৃষ্ণা
phony,অপ্রকৃত
picket,ফাঁড়ি স্থাপন করা
picketed,পিকেটিং
picketing,পিকেটিং
pickets,পিকেটার
picky,খুঁতখুঁতে
pig,শূকর
pigs,শূকর
pillage,লুঠতরাজ
pillory,কাষ্ঠানির্মিত শাস্তিস্তম্ভবিশেষ
pimple,ফুস্কুড়ি
pinch,চিমটি কাটা
pique,বিরূপতা
pitiable,অভাগা
pitiful,বেচারা
pitiless,নিষ্করুণ
pittance,সামান্য বেতন
pity,কৃপা
plagiarize,কুম্ভীলকগিরি
plague,প্লেগ
plaything,খেলনা
plea,অজুহাত
pleas,আবেদন
plebeian,প্রাকৃত
plight,অঙ্গীকার
plot,চক্রান্ত
plotters,ষড়যন্ত্রকারীদের
ploy,চাকরি
plunder,লুঠতরাজ
plunderer,ডাকু
pointless,অর্থহীন
poison,বিষ
poisonous,বিষাক্ত
pokey,দামের আইসক্রীম
poky,অপরিচ্ছন্ন
pollute,দূষিত করা
polluter,দূষণকারীকে
polluters,দূষণকারীদের
pompous,আত্মম্ভরী
poor,দরিদ্র
poorer,দরিদ্র
poorest,দরিদ্রতম
poorly,দুর্বল
posturing,অঙ্গবিন্যাস
pout,বিরক্তিভাব
poverty,দারিদ্র্য
powerless,ক্ষমতাহীন
prate,জল্পনা
pratfall,নিতম্বের উপর পতন
prattle,কপচান
precarious,নিরাপত্তাহীন
precipitate,থিতান
predatory,লুণ্ঠনমূলক
predicament,বিধেয়
prejudge,শুনিয়াই অপরাধী সাব্যস্ত
prejudice,কুসংস্কার
prejudices,কুসংস্কার
prejudicial,অনিষ্টকর
premeditated,পূর্বকল্পিত
preoccupy,সর্বাগ্রে দখল
preposterous,ভ্রান্ত
preposterously,অসংগতি
presumptuous,কোন বেয়াদব
presumptuously,নিজের ধারণার
pretend,সাজা
pretense,ভণ্ডামি
pretentious,দাম্ভিক
prevaricate,সত্যের অপলাপ করা
pricey,ব্যয়বহুল
pricier,দামী
prick,ফুটা
prickle,কুচান
prideful,গর্বিত
primitive,আদিম
prison,কারাগার
prisoner,বন্দী
problem,সমস্যা
problematic,অনিশ্চিত
problems,সমস্যার
procrastinate,গড়িমসি করা
procrastination,ঢিমেতেতালা
profane,অপবিত্র
profanity,অপবিত্রতা
prohibit,নিষিদ্ধ করা
prohibitive,বাধাদায়ক
prohibitively,নিষেধাজ্ঞামূলকভাবে
propaganda,প্রচারণার
proprietary,মালিকানা
prosecute,নালিশ করা
protest,আপত্তি
protested,প্রতিবাদ
protesting,প্রতিবাদী
protests,বিক্ষোভ
protracted,দীর্ঘায়িত
provocation,জ্বালাতন করা
provocative,উত্তেজক
provoke,ঘটান
pry,কিছুর মধ্যে উঁকি মারা
pugnacious,দ্বন্দ্বপ্রি়
pugnacity,যুযুৎসা
punch,মুষ্ট্যাঘাত
punish,শাস্তি
punishable,দণ্ডনীয়
punitive,শাস্তিমূলক
punk,বাজে
puny,পুঁচকে
puppet,পুতুল
puppets,পুতুল
puzzled,বিভ্রান্ত
puzzlement,বিভ্রান্ত অবস্থা
qualm,বিবেকের দংশন
qualms,সংশয়
quandary,মুশকিল
quarrel,ঝগড়া
quarrels,ঝগড়া
quarrelsome,ঝগড়াটে
quash,রদ করা
queer,উত্কট
questionable,সন্দেহজনক
quibble,টাল
quibbles,বিতর্কের অবকাশ
racism,স্বাজাতিকতা
racist,বর্ণবাদী
racists,জাতিভেদাভেদকারী
racy,তেজী
radical,ভিত্তিগত
radicalization,মৌলবাদের
radically,আমূল
radicals,মৌল
rage,ক্রোধ
ragged,জীর্ণ
rail,রেল
rampage,ছোটাছুটি
rampant,প্রচণ্ড
ramshackle,জীর্ণ
rancor,র্ষা
randomly,এলোমেলোভাবে
rankle,যন্ত্রণাদায়কভাবে পাকান
rant,অর্থহীন বাক্য
rants,একটি rants
rape,ধর্ষণ
raped,ধর্ষিত
raping,ধর্ষণ
rascal,বদমাশ
rash,ফুসকুড়ি
rattle,খনখন শব্দ
rattles,ঝুমঝুমি
ravage,লুটপাট
raving,প্রলাপ
reactionary,প্রতিক্রিয়াশীল
rebellious,বিদ্রোহী
rebuff,ধমক
rebuke,তাড়ন
recalcitrant,বিরুপ
recant,পরিত্যাগ করা
recession,মন্দা
recessionary,স্তবগান
reckless,বেপরোয়া
recklessly,বেপরোয়াভাবে
recklessness,অদূরদর্শিতা
recoil,পশ্চাদপসরণ
recourses,ভৌগোলিক সীমারেখার একটি পুরাতত্ত্ব
redundancy,অতিরেক
redundant,অপ্রয়োজনীয়
refusal,অস্বীকার
refuse,প্রত্যাখ্যান করা
refused,প্রত্যাখ্যাত
refuses,রাজি
refusing,অস্বীকার
refutation,অপ্রমাণ
refute,খণ্ডন করা
refuted,খণ্ডন
refutes,খণ্ডন
refuting,খণ্ডন
regress,প্রত্যাবর্তন
regression,প্রত্যাগতি
regressive,প্রত্যাবর্তী
regret,দু: খ প্রকাশ
regretful,নির্বিণ্ণ
regretfully,দুঃখজনক
regrets,অনুশোচনা
regrettable,অনুশোচীয়
regrettably,আফসোস
regretted,দুঃখ প্রকাশ
reject,প্রত্যাখ্যান
rejected,প্রত্যাখ্যাত
rejecting,প্রত্যাখ্যান
rejection,প্রত্যাখ্যান
rejects,প্রত্যাখ্যান
relapse,পালটান
relentless,নিষ্করুণ
relentlessly,নিরলসভাবে
reluctance,অনিচ্ছা
reluctant,অনিচ্ছুক
reluctantly,অনিচ্ছায়
remorse,অনুশোচনা
remorseful,অনুতপ্ত
remorseless,অনপিাতহীন
renounce,অস্বীকার করা
renunciation,আত্মত্যাগ
repel,প্রতিরোধ করা
repetitive,পুনরাবৃত্তিমূলক
reprehensible,নিন্দনীয়
reprehension,নিন্দা
repress,নিরোধ করা
repression,দমন
repressive,উত্পীড়নকর
reprimand,তর্জন
reproach,ভর্ত্সনা
reproachful,কলঙ্কর
reprove,টুকা
reprovingly,অসন্তুষ্টভাবে
repudiate,অস্বীকার করা
repudiation,পরিত্যাগ
repugnance,জঘন্যতা
repugnant,বেমানান
repulse,বিতাড়ন
repulsed,নিরাকৃত
repulsive,বীভত্স
resent,ক্ষতিকর মনে করা
resentful,বিরক্ত
resentment,বিরক্তিভাব
resignation,পদত্যাগ
resigned,পদত্যাগ
resistance,সহ্য করার ক্ষমতা
restless,অস্থির
restlessness,অস্থিরতা
restrict,সীমাবদ্ধ করা
restricted,সীমাবদ্ধ
restriction,সীমাবদ্ধতা
restrictive,নিয়ন্ত্রক
resurgent,পুনরূদীয়মান
retaliate,প্রতিহিংসা গ্রহণ করা
retaliatory,প্রতিদানক্ষম
retard,মন্দীভূত করা
retarded,মন্দীভূত
retards,না retards
reticent,স্বল্পভাষী
retract,প্রত্যাহার করা
retreat,পশ্চাদপসরণ
retreated,পশ্চাত্পদ
revenge,প্রতিশোধ
revengeful,প্রতিশোধপরায়ণ
revengefully,আগের পরাজয়ের শোধ তোলার
revert,প্রত্যাবর্তন করা
revile,গালাগালি করা
reviled,অপমান
revoke,রদ করা
revolt,বিদ্রোহ
revolting,বিরক্তিকর
revulsion,মনোভাবের সম্পূর্ণ পরিবর্তন
revulsive,অপকরণকারী
rhapsodize,প্রবল উদ্দীপনার সঙ্গে কিছু
rhetoric,অলঙ্কারশাস্ত্র
rhetorical,অলঙ্কৃত
ridicule,উপহাস
ridiculous,হাস্যকর
ridiculously,হাস্যকর
rife,বিদ্যমান
rift,ফুটা
rifts,ফাটল
rigid,অনমনীয়
rigidity,কাঠিন্য
rile,জল ঘোলা করা
rip,চেরা
risk,ঝুঁকি
risks,ঝুঁকি
risky,ঝুঁকিপূর্ণ
rival,প্রতিদ্বন্দ্বী
rivalry,দ্বন্দ্ব
rocky,শিলাময়
rogue,দুর্বৃত্ত
rollercoaster,রোলার কোস্টার
rot,পচা
rotten,পচা
rough,মোটামুটি
rubbish,আবর্জনা
rude,অভদ্র
rue,অনুতাপ
ruffian,অত্যাচারী লোক
ruffle,আলান
ruin,সর্বনাশ
ruined,ছারখার
ruining,বিনষ্টকারী
ruinous,ধ্বংসপ্রাপ্ত
ruins,ধ্বংসাবশেষ
rumbling,গজরানি
rumor,গুজব
rumors,গুজব
rumple,ভাঁজ করা
rundown,ভগ্নস্বাস্থ্য শিঠ্ট
runaway,পলায়ন
rupture,বিদারণ
rust,মরিচা
rusty,বিবর্ণ
rut,খাত
ruthless,দয়ালু নয় এমন
ruthlessly,নির্মমভাবে
ruthlessness,নির্মমতার
sack,ছালা
sacrificed,উত্সৃষ্ট
sad,দু: খিত
sadden,বিকৃত
sadly,দুঃখিতভাবে
sadness,বিষণ্ণতা
sag,পাশে ঝুলিয়া পড়া
sagging,দমে
salacious,লম্পট
sanctimonious,ধর্মধ্বজী
sap,প্রাণরস
sarcasm,বিদ্রূপ
sarcastic,তীব্র ব্যঙ্গপূর্ণ
